formattedAddress,location,rating,displayName,latitude,longitude,address
"125 Division St, New York, NY 10002, USA","{'latitude': 40.714364100000004, 'longitude': -73.9916195}",4.3,"{'text': 'Gangnam Bar BBQ & Hot Pot', 'languageCode': 'en'}",40.714434903838,-73.991717769982,123 Division Street
"138 Division St, New York, NY 10002, USA","{'latitude': 40.714555, 'longitude': -73.9915134}",4.5,"{'text': 'Forgtmenot', 'languageCode': 'en'}",40.714434903838,-73.991717769982,123 Division Street
"136 Division St, New York, NY 10002, USA","{'latitude': 40.7145423, 'longitude': -73.99156529999999}",4.4,"{'text': 'Bacaro', 'languageCode': 'en'}",40.714434903838,-73.991717769982,123 Division Street
"136 Division St, New York, NY 10002, USA","{'latitude': 40.7145368, 'longitude': -73.9915668}",4.6,"{'text': 'FMN General Store', 'languageCode': 'en'}",40.714434903838,-73.991717769982,123 Division Street
"125 Division St Suite B, New York, NY 10002, USA","{'latitude': 40.714364100000004, 'longitude': -73.9916195}",4.8,"{'text': 'Division Tofu house', 'languageCode': 'en'}",40.714434903838,-73.991717769982,123 Division Street
"525 8th Ave, New York, NY 10018, USA","{'latitude': 40.7538276, 'longitude': -73.9925288}",4.6,"{'text': 'Vanilla Gorilla Cafe', 'languageCode': 'en'}",40.753833291702,-73.992272307228,531 8 Avenue
"520 8th Ave, New York, NY 10018, USA","{'latitude': 40.753668999999995, 'longitude': -73.99216520000002}",4.2,"{'text': 'Harry’s bagels', 'languageCode': 'en'}",40.753833291702,-73.992272307228,531 8 Avenue
"525 8th Ave, New York, NY 10018, USA","{'latitude': 40.7538276, 'longitude': -73.9925288}",3.7,"{'text': 'Vue 525', 'languageCode': 'en'}",40.753833291702,-73.992272307228,531 8 Avenue
"239 W 116th St, New York, NY 10026, USA","{'latitude': 40.8041473, 'longitude': -73.9542852}",4.1,"{'text': ""La Savane d'Afrique"", 'languageCode': 'en'}",40.803943634387,-73.954234532855,243 West 116 Street
"1669 Nostrand Ave, Brooklyn, NY 11226, USA","{'latitude': 40.6454082, 'longitude': -73.94876889999999}",3.7,"{'text': 'Golden Bird', 'languageCode': 'en'}",40.645535492421,-73.949017626263,1668 Nostrand Avenue
