inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Compliance,14235335,PC8646943,1,3021690001,3,02169,0001,153,CLYMER STREET,11211,40.706743989282,-73.963343833927,Brooklyn,2026-01-30T10:13:00.000,Rat Activity,2026-02-02T07:51:05.000,"{'latitude': '40.706743989282', 'longitude': '-73.963343833927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,535,3399841,South Williamsburg,,
Initial,14235284,PC8654239,1,1020820122,1,02082,0122,515,WEST 150 STREET,10031,40.828752602519,-73.9461268549,Manhattan,2026-01-30T10:15:00.000,Rat Activity,2026-02-02T14:12:34.000,"{'latitude': '40.828752602519', 'longitude': '-73.9461268549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,237,1062173,Hamilton Heights-Sugar Hill,,
Treatments,3062430,PC8558789,28,1021010055,1,02101,0055,675,Riverside Drive,10031,40.826809268533,-73.952198877717,Manhattan,2026-01-30T10:18:28.000,Bait applied,2026-02-03T08:34:00.000,"{'latitude': '40.826809268533', 'longitude': '-73.952198877717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1000000,Hamilton Heights-Sugar Hill,,
Treatments,3062495,PC8462501,21,1012000010,1,01200,0010,43,WEST   86 STREET,10024,40.78598195258,-73.970966479948,Manhattan,2026-01-30T10:20:39.000,Bait applied,2026-02-05T10:51:42.000,"{'latitude': '40.78598195258', 'longitude': '-73.970966479948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,6,173,1031402,Upper West Side (Central),992290,225635
Initial,14236983,PC8655927,1,2030560001,2,03056,0001,2406,LORILLARD PLACE,10458,40.856658505523,-73.888976506606,Bronx,2026-01-30T10:20:59.000,Failed for Other R,2026-02-05T11:32:31.000,"{'latitude': '40.856658505523', 'longitude': '-73.888976506606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,387,2011709,Belmont,,
Initial,14235114,PC8660440,1,3012800001,3,01280,0001,951,CARROLL STREET,11225,40.667939472594,-73.958520499349,Brooklyn,2026-01-30T10:23:00.000,Failed for Rat Act,2026-02-02T11:36:38.000,"{'latitude': '40.667939472594', 'longitude': '-73.958520499349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,35,325,3033446,Crown Heights (South),995757,182630
Initial,14235203,PC8655255,1,,2,03212,0115,UNIVERSITY,AVENUE,10468,,,Bronx,2026-01-30T10:24:00.000,Failed for Rat Act,2026-02-04T15:07:05.000,,,,,,,,
Compliance,14235147,PC8506409,9,3013660014,3,01366,0014,1308,PROSPECT PLACE,11213,40.673362003553,-73.932914306558,Brooklyn,2026-01-30T10:27:00.000,Rat Activity,2026-02-02T09:10:27.000,"{'latitude': '40.673362003553', 'longitude': '-73.932914306558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,345,3036211,Crown Heights (North),1002859,184610
Initial,14235585,PC8659726,1,2046000002,2,04600,0002,3304,WHITE PLAINS ROAD,10467,40.873443997957,-73.867075755731,Bronx,2026-01-30T10:30:14.000,Failed for Rat Act,2026-02-02T09:34:04.000,"{'latitude': '40.873443997957', 'longitude': '-73.867075755731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,12,374,2056302,Williamsbridge-Olinville,1021011,257527
Initial,14235305,PC8664239,1,4006510041,4,00651,0041,30-11,36 STREET,11103,40.764459286913,-73.917826403994,Queens,2026-01-30T10:32:00.000,Failed for Other R,2026-02-03T11:38:25.000,"{'latitude': '40.764459286913', 'longitude': '-73.917826403994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4010008,Astoria (Central),,
