rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
4.6,40.847218,-73.938372,Manolo Tapas,"4165 Broadway, New York, NY 10033, USA",Treatments,2026-02-04T11:32:04.000,Bait applied
4.1,40.860896,-73.926075,Karamelo,"141 Nagle Ave, New York, NY 10040, USA",Compliance,2026-02-04T11:48:00.000,Rat Activity
3.2,40.830511,-73.910122,El Molino Teo Restaurant,"400 E 167th St, Bronx, NY 10456, USA",Initial,2026-02-04T11:54:00.000,Failed for Other R
4.7,40.8246,-73.951449,Lux Bar and Grill,"3480 Broadway, New York, NY 10031, USA",Treatments,2026-02-04T12:10:02.000,Bait applied
5,40.849443,-73.910699,His People's Halal Kitchen,"9/11 Mt Hope Pl, Bronx, NY 10453, USA",Treatments,2026-02-04T12:15:42.000,Bait applied
4,40.726896,-73.995834,Gregorys Coffee,"649 Broadway, New York, NY 10012, USA",Compliance,2026-02-04T12:17:07.000,Failed for Other R
4.3,40.862523,-73.903065,Maria Bonita Bakery Juice Bar,"42 W Fordham Rd, Bronx, NY 10468, USA",Treatments,2026-02-04T12:25:00.000,Bait applied
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Treatments,2026-02-04T12:25:43.000,Bait applied
4.4,40.825148,-73.951065,Malecón Express Restaurant,"3500 Broadway, New York, NY 10031, USA",Treatments,2026-02-04T12:35:44.000,Bait applied
4.2,40.695095,-73.949288,Marcy & Myrtle,"574 Marcy Ave, Brooklyn, NY 11206, USA",Compliance,2026-02-04T12:36:00.000,Rat Activity
4.7,40.825976,-73.947491,Chopped Parsley,"500 W 146th St, New York, NY 10031, USA",Compliance,2026-02-04T12:56:05.000,Rat Activity
4.3,40.82745,-73.920718,ASAP SNACK BAR,"909 Sheridan Ave, Bronx, NY 10451, USA",Compliance,2026-02-04T13:17:18.000,Rat Activity
4.8,40.905178,-73.901317,Mr Vigg Enterprises Inc,"5670 Mosholu Ave, Bronx, NY 10471, USA",Initial,2026-02-04T13:35:00.000,Rat Activity
4.8,40.905178,-73.901317,Mr Vigg Enterprises Inc,"5670 Mosholu Ave, Bronx, NY 10471, USA",Initial,2026-02-04T13:35:00.000,Rat Activity
N/A,40.699196,-73.915927,Bar blanquita,"1493 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-04T14:11:00.000,Rat Activity
N/A,40.718199,-74.014837,Fiolino,"41 River Ter., New York, NY 10282, USA",Compliance,2026-02-04T14:22:41.000,Rat Activity
N/A,40.699196,-73.915927,Bar blanquita,"1493 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-04T14:23:34.000,Rat Activity
3.5,40.905609,-73.904165,Golden Phoenix,"Golden Phoenix, 5646 Riverdale Ave, Bronx, NY 10471, USA",Compliance,2026-02-04T14:45:00.000,Rat Activity
4.3,40.744357,-73.986098,Bourke Street Bakery,"15 E 28th St, New York, NY 10016, USA",Compliance,2026-02-05T08:41:23.000,Failed for Other R
2.7,40.828442,-73.878851,Laisla Bakery,"1522 Westchester Ave, Bronx, NY 10472, USA",Treatments,2026-02-05T09:35:06.000,Bait applied
2.7,40.828442,-73.878851,Laisla Bakery,"1522 Westchester Ave, Bronx, NY 10472, USA",Treatments,2026-02-05T09:35:06.000,Bait applied
N/A,40.728165,-74.00514,NYC Halal Rice,"200 Varick St, New York, NY 10014, USA",Initial,2026-02-05T09:36:52.000,Rat Activity
N/A,40.728165,-74.00514,NYC Halal Rice,"200 Varick St, New York, NY 10014, USA",Initial,2026-02-05T09:36:52.000,Rat Activity
N/A,40.728165,-74.00514,NYC Halal Rice,"200 Varick St, New York, NY 10014, USA",Initial,2026-02-05T09:36:52.000,Rat Activity
4.9,40.855828,-73.92872,Taqueria y paleteria la michuacana,"1630 St Nicholas Ave, New York, NY 10040, USA",Treatments,2026-02-05T09:45:47.000,Bait applied
5,40.786655,-73.975552,Jacob’s Pickles,"509 Amsterdam Ave, New York, NY 10024, USA",Treatments,2026-02-05T10:00:42.000,Bait applied
4.2,40.849105,-73.937229,Tierra Y Mar,"4221 Broadway, New York, NY 10033, USA",Compliance,2026-02-05T10:00:55.000,Rat Activity
5,40.825903,-73.947366,Texas Chicken & burger,"1734 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-05T10:10:13.000,Bait applied
4.7,40.72526,-73.946535,Minnows Bar,"167 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:10:16.000,Rat Activity
4.4,40.701745,-73.923291,Il Bel Paese Pizzeria & Trattoria,"305 Knickerbocker Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-05T10:18:49.000,Bait applied
4.2,40.849105,-73.937229,Tierra Y Mar,"4221 Broadway, New York, NY 10033, USA",Compliance,2026-02-05T10:20:00.000,Rat Activity
5,40.715341,-73.991428,Clubhouse Sandos & Suds,"22 Orchard St, New York, NY 10002, USA",Compliance,2026-02-05T10:22:30.000,Failed for Other R
5,40.715341,-73.991428,Clubhouse Sandos & Suds,"22 Orchard St, New York, NY 10002, USA",Compliance,2026-02-05T10:22:30.000,Failed for Other R
5,40.715341,-73.991428,Clubhouse Sandos & Suds,"22 Orchard St, New York, NY 10002, USA",Compliance,2026-02-05T10:22:30.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.725333,-73.946343,That's A Wrap,"175 Nassau Ave, Brooklyn, NY 11222, USA",Initial,2026-02-05T10:30:41.000,Failed for Other R
N/A,40.718599,-73.982523,Bites R Us,"85 Pitt St, New York, NY 10002, USA",Initial,2026-02-05T10:31:48.000,Failed for Other R
N/A,40.718599,-73.982523,Bites R Us,"85 Pitt St, New York, NY 10002, USA",Initial,2026-02-05T10:31:48.000,Failed for Other R
4.9,40.70188,-73.92411,Don Fidel's Nieve de Garrafa - Street Mexican Ice Cream,"282 Knickerbocker Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-05T10:31:49.000,Monitoring visit
4.2,40.849682,-73.93651,Bar 180,"4241 Broadway, New York, NY 10033, USA",Treatments,2026-02-05T10:32:47.000,Bait applied
4.9,40.832389,-73.916474,Halal Fresh Food & Coffee Restaurant,"1152 Sherman Ave, Bronx, NY 10456, USA",Initial,2026-02-05T10:45:14.000,Rat Activity
4.9,40.832389,-73.916474,Halal Fresh Food & Coffee Restaurant,"1152 Sherman Ave, Bronx, NY 10456, USA",Initial,2026-02-05T10:53:00.000,Failed for Other R
4.1,40.803771,-73.953441,M&D Cafe,"215 W 116th St, New York, NY 10026, USA",Initial,2026-02-05T10:56:16.000,Rat Activity
5,40.843652,-73.934064,Bartolobritura,"174 Amsterdam Ave, New York, NY 10033, USA",Treatments,2026-02-05T11:00:47.000,Bait applied
N/A,40.803526,-73.952868,Catch 22,"St Nicholas Ave, New York, NY 10026, USA",Initial,2026-02-05T11:02:16.000,Rat Activity
N/A,40.832862,-73.9157,LA EMPANADA DE ANA,"1175 Grant Ave, Bronx, NY 10456, USA",Initial,2026-02-05T11:08:14.000,Rat Activity
N/A,40.832862,-73.9157,LA EMPANADA DE ANA,"1175 Grant Ave, Bronx, NY 10456, USA",Initial,2026-02-05T11:08:14.000,Rat Activity
4.5,40.837491,-73.938912,Santo Entierro Mexican Restaurant,"2102 Amsterdam Ave #2, New York, NY 10032, USA",Treatments,2026-02-05T11:13:00.000,Bait applied
1,40.843197,-73.934941,Mi casa,"503 W 173rd St, New York, NY 10032, USA",Treatments,2026-02-05T11:15:47.000,Bait applied
N/A,40.832862,-73.9157,LA EMPANADA DE ANA,"1175 Grant Ave, Bronx, NY 10456, USA",Initial,2026-02-05T11:16:14.000,Rat Activity
N/A,40.832862,-73.9157,LA EMPANADA DE ANA,"1175 Grant Ave, Bronx, NY 10456, USA",Initial,2026-02-05T11:16:14.000,Rat Activity
N/A,40.721894,-73.988208,Bar Bryan night,"182 Orchard St, New York, NY 10002, USA",Treatments,2026-02-05T11:27:00.000,Bait applied
3.9,40.797586,-73.940067,Kahlua’s Cafe,"2117 3rd Ave, New York, NY 10029, USA",Treatments,2026-02-05T11:28:11.000,Monitoring visit
3.9,40.797586,-73.940067,Kahlua’s Cafe,"2117 3rd Ave, New York, NY 10029, USA",Treatments,2026-02-05T11:28:11.000,Monitoring visit
4.3,40.815128,-73.947773,Chez Jacob,"2479 Frederick Douglass Blvd, New York, NY 10027, USA",Treatments,2026-02-05T11:45:07.000,Bait applied
4.1,40.841586,-73.935892,El Nuevo Taino,"2228 Amsterdam Ave, New York, NY 10032, USA",Treatments,2026-02-05T11:45:47.000,Bait applied
4.8,40.777202,-73.951924,The Domino Room,"1640 2nd Ave Upstairs, New York, NY 10028, USA",Initial,2026-02-05T11:47:00.000,Failed for Rat Act
4.8,40.777202,-73.951924,The Domino Room,"1640 2nd Ave Upstairs, New York, NY 10028, USA",Initial,2026-02-05T11:47:00.000,Failed for Rat Act
3.4,40.852808,-73.887937,Gypsy Roma Café,"637 E 183rd St, Bronx, NY 10458, USA",Compliance,2026-02-05T11:48:18.000,Failed for Other R
4.9,40.838255,-73.93788,Niccolo Pizzeria,"2127 Amsterdam Ave, New York, NY 10032, USA",Treatments,2026-02-05T11:50:00.000,Bait applied
4.5,40.854915,-73.890556,Bella Pizza,"4555 Third Ave, Bronx, NY 10458, USA",Compliance,2026-02-05T12:00:00.000,Rat Activity
3.8,40.849774,-73.9367,Dnosotrospasteles,"701 W 180th St, New York, NY 10033, USA",Compliance,2026-02-05T12:10:23.000,Rat Activity
N/A,40.830537,-73.854518,Blue Agave,"2062 Powell Ave, Bronx, NY 10472, USA",Treatments,2026-02-05T12:19:36.000,Bait applied
3.8,40.849774,-73.9367,Dnosotrospasteles,"701 W 180th St, New York, NY 10033, USA",Compliance,2026-02-05T12:30:33.000,Rat Activity
4.8,40.682796,-73.950192,Indo - Pak Flavors NYC by Asian Flavors Halal Fusion Kitchen,"470 Nostrand Ave, Brooklyn, NY 11216, USA",Compliance,2026-02-05T12:36:53.000,Rat Activity
4.1,40.779641,-73.950241,Tenzan,"1714 2nd Ave, New York, NY 10128, USA",Compliance,2026-02-05T12:57:00.000,Rat Activity
3.4,40.688844,-73.905279,Plantega (Fire House Deli & Grill 2),"644 Wilson Ave, Brooklyn, NY 11207, USA",Initial,2026-02-05T13:00:00.000,Rat Activity
3.4,40.688844,-73.905279,Plantega (Fire House Deli & Grill 2),"644 Wilson Ave, Brooklyn, NY 11207, USA",Initial,2026-02-05T13:00:00.000,Rat Activity
4.1,40.792704,-73.945772,Great Hong Kong,"1703 Lexington Ave, New York, NY 10029, USA",Treatments,2026-02-05T13:12:01.000,Bait applied
5,40.739011,-73.852958,Comida ecuatoriana,"59-08 108th St, Corona, NY 11368, USA",Compliance,2026-02-05T13:43:00.000,Rat Activity
4,40.830575,-73.897313,Johnny's Caribbean Bakery & Resturant,"1365 Prospect Ave, Bronx, NY 10459, USA",Initial,2026-02-06T07:58:28.000,Failed for Rat Act
4,40.830575,-73.897313,Johnny's Caribbean Bakery & Resturant,"1365 Prospect Ave, Bronx, NY 10459, USA",Initial,2026-02-06T08:03:00.000,Rat Activity
5,40.718966,-73.984401,BabySips,"176 Rivington St, New York, NY 10002, USA",Initial,2026-02-06T08:04:24.000,Failed for Rat Act
4.7,40.6834,-73.934688,LunÀtico,"486 Halsey St, Brooklyn, NY 11233, USA",Initial,2026-02-06T08:07:00.000,Rat Activity
N/A,40.728584,-73.987907,NYC Best Burgers,"St Marks Pl, 2nd Ave, New York, NY 10003, USA",Compliance,2026-02-06T08:24:00.000,Rat Activity
3.5,40.808569,-73.947756,McDonald's,"148 W 125th St, New York, NY 10029, USA",Initial,2026-02-06T08:38:04.000,Rat Activity
3.9,40.81569,-73.94415,The Original Cake Man Raven,"201 W 135th St, New York, NY 10030, USA",Compliance,2026-02-06T09:00:00.000,Failed for Other R
4.5,40.727734,-73.984266,Smithereens,"414 E 9th St, New York, NY 10009, USA",Compliance,2026-02-06T09:13:01.000,Rat Activity
4.6,40.710647,-73.958318,Masti Indian Grill & Chaat Bar,"184 Havemeyer St, Brooklyn, NY 11211, USA",Treatments,2026-02-06T09:18:55.000,Bait applied
4.2,40.764211,-73.981241,Premier Deli,"856 7th Ave, New York, NY 10019, USA",Initial,2026-02-06T09:21:36.000,Failed for Other R
4.6,40.823585,-73.949034,The Yellow Banana Snack Bar,"1658 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-06T09:22:21.000,Bait applied
