job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,letter_type,observations,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
PC8626768,2026-08-31T09:47:32.000,Treatments,635A,LEXINGTON AVENUE,11221,Brooklyn,Bait applied,,,3016200077,3,1620,77,40.689447885012,-73.935519539905,"{'latitude': '40.689447885012', 'longitude': '-73.935519539905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,291,3044060,Bedford-Stuyvesant (East),,
PC8706556,2026-08-31T09:49:00.000,Treatments,1509,PACIFIC STREET,11213,Brooklyn,Bait applied,,,3012040077,3,1204,77,40.677173423465,-73.940935679198,"{'latitude': '40.677173423465', 'longitude': '-73.940935679198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,311,3029950,Crown Heights (North),1000633,185997
PC8750947,2026-08-31T09:49:08.000,Treatments,4151,BROADWAY,10033,Manhattan,Bait applied,,,1021420217,1,2142,217,40.846573016652,-73.938344941647,"{'latitude': '40.846573016652', 'longitude': '-73.938344941647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,263,1063513,Washington Heights (South),,
PC8599996,2026-08-31T09:50:29.000,Treatments,1139,Wyatt Street,10460,Bronx,Bait applied,,,2039060088,2,3906,88,40.839093372618,-73.876674857469,"{'latitude': '40.839093372618', 'longitude': '-73.876674857469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,60,2087051,West Farms,,
PC8745979,2026-08-31T09:50:45.000,Compliance,702,DEKALB AVENUE,11216,Brooklyn,Failed for Rat Activity,Summons Issued,Burrows,3017800010,3,1780,10,40.691757057089,-73.947925586188,"{'latitude': '40.691757057089', 'longitude': '-73.947925586188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3049625,Bedford-Stuyvesant (West),,
PC8539947,2026-08-31T09:54:19.000,Compliance,768,DEAN STREET,11238,Brooklyn,Failed for Rat Activity and Other Reason,Summons Issued,"Burrows, Runways, Harborage",3011390013,3,1139,13,40.679491559327,-73.964689244014,"{'latitude': '40.679491559327', 'longitude': '-73.964689244014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,203,3027944,Prospect Heights,,
PC8738213,2026-08-31T09:54:54.000,Treatments,223,EAST 89 STREET,10128,Manhattan,Bait applied,,,1015350015,1,1535,15,40.780464075868,-73.951882025445,"{'latitude': '40.780464075868', 'longitude': '-73.951882025445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,15401,1048885,Upper East Side-Yorkville,,
PC8755946,2026-08-31T09:56:52.000,Compliance,320,EASTERN PARKWAY,11225,Brooklyn,Failed for Rat Activity and Other Reason,Summons Issued,"Droppings, Harborage",3011850039,3,1185,39,40.670736364905,-73.958421421718,"{'latitude': '40.670736364905', 'longitude': '-73.958421421718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,35,213,3029674,Crown Heights (South),995805,183643
PC8731801,2026-08-31T10:00:32.000,Treatments,613,LEXINGTON AVENUE,11221,Brooklyn,Bait applied,,,3016190155,3,1619,155,40.689303118957,-73.936788949899,"{'latitude': '40.689303118957', 'longitude': '-73.936788949899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,279,3043991,Bedford-Stuyvesant (East),,
PC8673001,2026-08-31T10:00:52.000,Treatments,1440,BOSTON ROAD,10460,Bronx,Bait applied,,,2029630053,2,2963,53,40.833699811877,-73.895942499413,"{'latitude': '40.833699811877', 'longitude': '-73.895942499413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,153,2010233,Crotona Park East,,
