job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,letter_type,observations,x_coord,y_coord
PC8743442,2026-09-08T11:35:25.000,Treatments,410,EAST 183 STREET,10458,Bronx,Bait applied,2030300157,2,3030,157,40.856104478426,-73.895260233688,"{'latitude': '40.856104478426', 'longitude': '-73.895260233688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,38304,2113564,Belmont,,,,
PC8693915,2026-09-08T11:36:17.000,Treatments,791,HART STREET,11237,Brooklyn,Bait applied,3032190038,3,3219,38,40.701039988045,-73.92362120588,"{'latitude': '40.701039988045', 'longitude': '-73.92362120588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,34,429,3073185,Bushwick (West),,,,
PC8667207,2026-09-08T11:39:00.000,Compliance,2852,8 AVENUE,10039,Manhattan,Failed for Rat Activity,1020380001,1,2038,1,40.827335293157,-73.93861577322,"{'latitude': '40.827335293157', 'longitude': '-73.93861577322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,236,1083117,Harlem (North),Summons Issued,Burrows,,
PC8763849,2026-09-08T11:39:25.000,Compliance,218,HIMROD STREET,11237,Brooklyn,Failed for Rat Activity,3032780022,3,3278,22,40.699308734561,-73.920608227416,"{'latitude': '40.699308734561', 'longitude': '-73.920608227416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,431,3074781,Bushwick (West),,"Droppings, Runways",,
PC8673417,2026-09-08T11:40:00.000,Compliance,275,57 STREET,11220,Brooklyn,Failed for Rat Activity,3008370045,3,837,45,40.644293550417,-74.019537832342,"{'latitude': '40.644293550417', 'longitude': '-74.019537832342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,38,22,3015232,Sunset Park (West),Summons Issued,"Droppings, Burrows",978828,174013
PC8773913,2026-09-08T11:40:00.000,Initial,75,MONROE STREET,10002,Manhattan,Failed for Rat Activity,1002740014,1,274,14,40.711742345887,-73.992601844541,"{'latitude': '40.711742345887', 'longitude': '-73.992601844541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003269,Chinatown-Two Bridges,COTA,Droppings,,
PC8561575,2026-09-08T11:40:27.000,Treatments,795,ST NICHOLAS AVENUE,10031,Manhattan,Bait applied,1020640036,1,2064,36,40.827126145631,-73.942876137954,"{'latitude': '40.827126145631', 'longitude': '-73.942876137954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,231,1061550,Hamilton Heights-Sugar Hill,,,,
PC8653054,2026-09-08T11:41:00.000,Compliance,32,EAST 129 STREET,10035,Manhattan,Failed for Rat Activity and Other Reason,1017530057,1,1753,57,40.808424304844,-73.939171522666,"{'latitude': '40.808424304844', 'longitude': '-73.939171522666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,9,206,1054198,East Harlem (North),Summons Issued,"Droppings, Burrows, Runways, Garbage",,
PC8770269,2026-09-08T11:41:00.000,Initial,29,WEST 126 STREET,10027,Manhattan,Failed for Rat Activity,1017240123,1,1724,123,40.807553371931,-73.942864102454,"{'latitude': '40.807553371931', 'longitude': '-73.942864102454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,208,1053600,Harlem (North),COTA,Droppings,,
PC8770455,2026-09-08T11:41:33.000,Initial,295,EAST 163 STREET,10451,Bronx,Failed for Rat Activity,2024230046,2,2423,46,40.826972865996,-73.916639600466,"{'latitude': '40.826972865996', 'longitude': '-73.916639600466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,173,2002012,Concourse-Concourse Village,COTA,Droppings,,
PC8769806,2026-09-08T11:42:00.000,Initial,901,WALTON AVENUE,10452,Bronx,Failed for Other Reason,2024760091,2,2476,91,40.827996015507,-73.923615836863,"{'latitude': '40.827996015507', 'longitude': '-73.923615836863', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,195,2002925,Concourse-Concourse Village,,Harborage,,
PC8766573,2026-09-08T11:42:57.000,Initial,248,SHERMAN AVENUE,10034,Manhattan,Failed for Rat Activity and Other Reason,1022270023,1,2227,23,40.866095412921,-73.919204378403,"{'latitude': '40.866095412921', 'longitude': '-73.919204378403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,293,1064855,Inwood,,"Droppings, Garbage, Harborage, Mice",1006597,254832
PC8606524,2026-09-08T11:43:14.000,Treatments,3840,ORLOFF AVENUE,10463,Bronx,Bait applied,2032630172,2,3263,172,40.883588684083,-73.896627185638,"{'latitude': '40.883588684083', 'longitude': '-73.896627185638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,11,279,2016064,Kingsbridge Heights-Van Cortlandt Village,,,1012834,261212
PC8584373,2026-09-08T11:45:00.000,Treatments,1148,PACIFIC STREET,11216,Brooklyn,Bait applied,3012050018,3,1205,18,40.67809620422,-73.954094096293,"{'latitude': '40.67809620422', 'longitude': '-73.954094096293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,221,3029959,Crown Heights (North),,,,
PC8770082,2026-09-08T11:45:33.000,Initial,293,EAST 163 STREET,10451,Bronx,Failed for Rat Activity,2024230047,2,2423,47,40.826986621148,-73.916682943605,"{'latitude': '40.826986621148', 'longitude': '-73.916682943605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,173,2002013,Concourse-Concourse Village,COTA,Droppings,,
PC8654816,2026-09-08T11:47:00.000,Treatments,2028,CROSS BRONX EXPRESSWAY,10472,Bronx,Bait applied,2038030019,2,3803,19,40.831697235717,-73.856231864294,"{'latitude': '40.831697235717', 'longitude': '-73.856231864294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,18,78,2026230,Castle Hill-Unionport,,,1024035,242322
PC8770360,2026-09-08T11:47:00.000,Initial,23,WEST 126 STREET,10027,Manhattan,Failed for Rat Activity,1017240026,1,1724,26,40.807498410449,-73.94273049446,"{'latitude': '40.807498410449', 'longitude': '-73.94273049446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,208,1053561,Harlem (North),COTA,"Droppings, Burrows",,
PC8684434,2026-09-08T11:47:08.000,Treatments,125,SEAMAN AVENUE,10034,Manhattan,Bait applied,1022400009,1,2240,9,40.86878792082,-73.923102380513,"{'latitude': '40.86878792082', 'longitude': '-73.923102380513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,295,1064972,Inwood,,,1005518,255812
PC8774201,2026-09-08T11:48:15.000,Initial,57,MONROE STREET,10002,Manhattan,Failed for Rat Activity,1002740006,1,274,6,40.711665545956,-73.993485590784,"{'latitude': '40.711665545956', 'longitude': '-73.993485590784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1079606,Chinatown-Two Bridges,City Agency Referral,Burrows,,
PC8769803,2026-09-08T11:50:00.000,Initial,955,WALTON AVENUE,10452,Bronx,Failed for Rat Activity,2024760044,2,2476,44,40.829178539373,-73.922927911176,"{'latitude': '40.829178539373', 'longitude': '-73.922927911176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,195,2002916,Concourse-Concourse Village,,Burrows,,
PC8596827,2026-09-08T11:50:46.000,Treatments,486,Convent Ave,10031,Manhattan,Bait applied,1020660021,1,2066,21,40.828531403696,-73.94277736363,"{'latitude': '40.828531403696', 'longitude': '-73.94277736363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,23501,1061592,Hamilton Heights-Sugar Hill,,,,
PC8757266,2026-09-08T11:53:00.000,Compliance,577,5 AVENUE,11215,Brooklyn,Failed for Rat Activity,3010530015,3,1053,15,40.664833957733,-73.989914468197,"{'latitude': '40.664833957733', 'longitude': '-73.989914468197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,39,14102,3024175,Windsor Terrace-South Slope,,Droppings,987048,181496
PC8557893,2026-09-08T11:53:46.000,Treatments,541,West 144 St,10031,Manhattan,Bait applied,1020760016,1,2076,16,40.82506510973,-73.949287844693,"{'latitude': '40.82506510973', 'longitude': '-73.949287844693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1061902,Hamilton Heights-Sugar Hill,,,,
PC8764023,2026-09-08T11:55:25.000,Compliance,210,HIMROD STREET,11237,Brooklyn,Failed for Rat Activity,3032780018,3,3278,18,40.69916061924,-73.920756267489,"{'latitude': '40.69916061924', 'longitude': '-73.920756267489', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,431,3074777,Bushwick (West),,"Droppings, Burrows",,
PC8701937,2026-09-08T11:56:00.000,Treatments,3873,ORLOFF AVENUE,10463,Bronx,Bait applied,2032630098,2,3263,98,40.884172885792,-73.896156129942,"{'latitude': '40.884172885792', 'longitude': '-73.896156129942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,11,279,2016025,Kingsbridge Heights-Van Cortlandt Village,,,1012964,261425
PC8606142,2026-09-08T11:56:24.000,Compliance,1566,VYSE AVENUE,10460,Bronx,Failed for Rat Activity and Other Reason,2029960020,2,2996,20,40.834432778735,-73.887340559498,"{'latitude': '40.834432778735', 'longitude': '-73.887340559498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,157,2010788,Crotona Park East,Summons Issued,"Burrows, Mice",1015425,243306
PC8750597,2026-09-08T11:56:50.000,Compliance,2383,WASHINGTON AVENUE,10458,Bronx,Failed for Rat Activity,2030400022,2,3040,22,40.857303151195,-73.891466178207,"{'latitude': '40.857303151195', 'longitude': '-73.891466178207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,385,2011400,Belmont,,"Droppings, Burrows",1014273,251637
PC8701651,2026-09-08T11:58:18.000,Treatments,136,SEAMAN AVENUE,10034,Manhattan,Bait applied,1022480092,1,2248,92,40.8688865832,-73.922881711015,"{'latitude': '40.8688865832', 'longitude': '-73.922881711015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,295,1080547,Inwood,,,1005579,255848
