inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,x_coord,y_coord,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta
Treatments,3079669,PC8651464,6,2033460010,2,3346,10,3210,PERRY AVENUE,10467,1018292,258059,40.87491513818,-73.876904671314,Bronx,2026-06-08T09:30:30.000,Bait applied,2026-06-08T14:12:48.000,"{'latitude': '40.87491513818', 'longitude': '-73.876904671314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,42901,2018333,Norwood
Treatments,3079758,PC8684177,4,4019650001,4,1965,1,58-06,WALDRON STREET,11368,,,40.739150307656,-73.852488139744,Queens,2026-06-08T09:32:03.000,Bait applied,2026-06-09T08:23:46.000,"{'latitude': '40.739150307656', 'longitude': '-73.852488139744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,21,43701,4048315,Corona
Initial,14317235,PC8733525,1,1002800002,1,280,2,25,HENRY STREET,10002,,,40.712873368294,-73.996255769787,Manhattan,2026-06-08T09:33:00.000,Failed for Rat Activity,2026-06-09T10:17:24.000,"{'latitude': '40.712873368294', 'longitude': '-73.996255769787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003398,Chinatown-Two Bridges
Initial,14317134,PC8734029,1,1003840021,1,384,21,231,EAST    2 STREET,10009,989164,202144,40.721507099915,-73.982272119349,Manhattan,2026-06-08T09:35:00.000,Failed for Rat Activity,2026-06-09T11:02:45.000,"{'latitude': '40.721507099915', 'longitude': '-73.982272119349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,2202,1000000,East Village
Initial,14316915,PC8728840,1,3012070072,3,1207,72,1197,DEAN STREET,11216,,,40.676853600771,-73.949426217017,Brooklyn,2026-06-08T09:37:23.000,Failed for Rat Activity and Other Reason,2026-06-09T08:18:50.000,"{'latitude': '40.676853600771', 'longitude': '-73.949426217017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030088,Crown Heights (North)
Stoppage,3079733,PC8731750,1,3032590008,3,3259,8,171,irving  ave,11237,,,40.702193036796,-73.919955594937,Brooklyn,2026-06-08T09:43:00.000,Stoppage done,2026-06-09T10:10:33.000,"{'latitude': '40.702193036796', 'longitude': '-73.919955594937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,443,3325596,Bushwick (West)
Compliance,14317062,PC8706030,2,1021070072,1,2107,72,935,ST NICHOLAS AVENUE,10032,1000583,242449,40.832120613327,-73.94097828134,Manhattan,2026-06-08T09:44:00.000,Failed for Rat Activity,2026-06-09T10:52:37.000,"{'latitude': '40.832120613327', 'longitude': '-73.94097828134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,239,1062491,Washington Heights (South)
Initial,14316916,PC8729981,1,3012070071,3,1207,71,1199,DEAN STREET,11216,,,40.67685083212,-73.949372141081,Brooklyn,2026-06-08T09:44:23.000,Failed for Other Reason,2026-06-09T08:20:29.000,"{'latitude': '40.67685083212', 'longitude': '-73.949372141081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030087,Crown Heights (North)
Initial,14316747,PC8732099,1,3079080001,3,7908,1,1269,RALPH AVENUE,11236,1006447,174445,40.64545303825,-73.92001311563,Brooklyn,2026-06-08T09:45:47.000,Failed for Other Reason,2026-06-09T10:14:20.000,"{'latitude': '40.64545303825', 'longitude': '-73.92001311563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,42,934,3221654,East Flatbush-Remsen Village
Treatments,3079673,PC8639109,6,2033350118,2,3335,118,3191,ROCHAMBEAU AVENUE,10467,1017271,258467,40.876038878775,-73.880594567547,Bronx,2026-06-08T09:45:52.000,Bait applied,2026-06-08T14:11:23.000,"{'latitude': '40.876038878775', 'longitude': '-73.880594567547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,419,2018006,Norwood
Treatments,3079757,PC8684175,4,4019640164,4,1964,164,57-42,WALDRON STREET,11368,,,40.73935147611,-73.853111980854,Queens,2026-06-08T09:47:03.000,Bait applied,2026-06-09T08:23:34.000,"{'latitude': '40.73935147611', 'longitude': '-73.853111980854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,21,43701,4048312,Corona
Initial,14316918,PC8731527,1,3012070070,3,1207,70,1201,DEAN STREET,11216,,,40.676848063445,-73.94931806515,Brooklyn,2026-06-08T09:47:23.000,Failed for Rat Activity,2026-06-09T08:21:03.000,"{'latitude': '40.676848063445', 'longitude': '-73.94931806515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030086,Crown Heights (North)
Initial,14316757,PC8726336,1,3027370004,3,2737,4,291,MEEKER AVENUE,11211,998298,200594,40.717105857849,-73.94980679854,Brooklyn,2026-06-08T09:49:47.000,Failed for Rat Activity,2026-06-09T11:32:52.000,"{'latitude': '40.717105857849', 'longitude': '-73.94980679854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,515,3322778,Williamsburg
Initial,14316922,PC8728898,1,3012070067,3,1207,67,1207,DEAN STREET,11216,,,40.676837010891,-73.949152234281,Brooklyn,2026-06-08T09:52:23.000,Failed for Other Reason,2026-06-09T08:23:07.000,"{'latitude': '40.676837010891', 'longitude': '-73.949152234281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030083,Crown Heights (North)
Initial,14316710,PC8728418,1,3027500009,3,2750,9,398,GRAHAM AVENUE,11211,999578,200337,40.716535345059,-73.944706425892,Brooklyn,2026-06-08T09:53:00.000,Failed for Rat Activity,2026-06-09T12:30:20.000,"{'latitude': '40.716535345059', 'longitude': '-73.944706425892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,497,3068459,East Williamsburg
Treatments,3079609,PC8534887,9,3007000058,3,700,58,323,38 st,11232,,,40.653896260189,-74.006735795779,Brooklyn,2026-06-08T09:56:00.000,Bait applied,2026-06-08T13:43:13.000,"{'latitude': '40.653896260189', 'longitude': '-74.006735795779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,38,84,3010392,Sunset Park (West)
Compliance,14317094,PC8701664,2,3024170019,3,2417,19,130,SOUTH    2 STREET,11249,994616,199209,40.713446479627,-73.962607874207,Brooklyn,2026-06-08T09:57:00.000,Failed for Rat Activity,2026-06-09T12:54:19.000,"{'latitude': '40.713446479627', 'longitude': '-73.962607874207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,551,3063095,Williamsburg
Treatments,3079621,PC8406974,13,3010340048,3,1034,48,237,14 STREET,11215,987172,182099,40.666489018492,-73.989467241605,Brooklyn,2026-06-08T09:58:02.000,Bait applied,2026-06-08T13:58:53.000,"{'latitude': '40.666489018492', 'longitude': '-73.989467241605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,38,14101,3325084,Park Slope
Treatments,3079672,PC8510562,12,2033350135,2,3335,135,189,EAST MOSHOLU PARKWAY NORTH,10467,1017027,258157,40.875188927901,-73.881478404073,Bronx,2026-06-08T10:00:03.000,Bait applied,2026-06-08T14:11:46.000,"{'latitude': '40.875188927901', 'longitude': '-73.881478404073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,419,2018012,Norwood
Initial,14316725,PC8735250,1,,2,2539,2,000,EXTERIOR STREET,,,,0.00000000000000000000,0.00000000000000000000,Bronx,2026-06-08T10:00:45.000,Failed for Rat Activity and Other Reason,2026-06-09T14:11:55.000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
Treatments,3079773,PC8622504,6,1014400013,1,1440,13,325,EAST   65 STREET,10065,995097,217644,40.764045608764,-73.960842976035,Manhattan,2026-06-08T10:00:48.000,Bait applied,2026-06-09T09:13:30.000,"{'latitude': '40.764045608764', 'longitude': '-73.960842976035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,118,1044712,Upper East Side-Lenox Hill-Roosevelt Island
Stoppage,3079731,PC8732455,1,3032690050,3,3269,50,237,HIMROD STREET,11237,,,40.700287969552,-73.919676585943,Brooklyn,2026-06-08T10:01:00.000,Stoppage done,2026-06-09T10:09:36.000,"{'latitude': '40.700287969552', 'longitude': '-73.919676585943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,431,3074513,Bushwick (West)
Initial,14316753,PC8725961,1,3079120051,3,7912,51,238,EAST   88 STREET,11236,1007275,175323,40.647860832551,-73.917026411158,Brooklyn,2026-06-08T10:03:47.000,Failed for Other Reason,2026-06-09T10:13:17.000,"{'latitude': '40.647860832551', 'longitude': '-73.917026411158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,42,930,3221865,East Flatbush-Remsen Village
Initial,14317475,PC8735227,1,1003910011,1,391,11,608,EAST    9 STREET,10009,989904,203765,40.725955923015,-73.979601108148,Manhattan,2026-06-08T10:04:36.000,Failed for Rat Activity and Other Reason,2026-06-09T13:21:13.000,"{'latitude': '40.725955923015', 'longitude': '-73.979601108148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,2602,1004739,East Village
Initial,14316711,PC8732505,1,3028930052,3,2893,52,45,MASPETH AVENUE,11211,1000647,200002,40.715613923774,-73.94085098113,Brooklyn,2026-06-08T10:07:00.000,Failed for Rat Activity,2026-06-09T12:13:53.000,"{'latitude': '40.715613923774', 'longitude': '-73.94085098113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,477,3348032,East Williamsburg
Initial,14317097,PC8734011,1,3024050044,3,2405,44,107,SOUTH    2 STREET,11249,994438,199301,40.713699205902,-73.963249814087,Brooklyn,2026-06-08T10:09:00.000,Failed for Rat Activity and Other Reason,2026-06-09T12:48:16.000,"{'latitude': '40.713699205902', 'longitude': '-73.963249814087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,551,3062954,Williamsburg
Treatments,3079608,PC8534761,9,3006800026,3,680,26,140,32 st,11232,,,40.657096830847,-74.003031073875,Brooklyn,2026-06-08T10:11:00.000,Bait applied,2026-06-08T13:43:49.000,"{'latitude': '40.657096830847', 'longitude': '-74.003031073875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,38,101,3010079,Sunset Park (West)
Initial,14317136,PC8735226,1,1003910012,1,391,12,610,EAST    9 STREET,10009,989912,203760,40.725942194047,-73.979572249419,Manhattan,2026-06-08T10:11:38.000,Failed for Rat Activity,2026-06-09T11:31:32.000,"{'latitude': '40.725942194047', 'longitude': '-73.979572249419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,2602,1004740,East Village
Treatments,3079622,PC8414703,14,3010420018,3,1042,18,280,14 STREET,11215,987610,181814,40.665706600874,-73.987888551845,Brooklyn,2026-06-08T10:12:33.000,Bait applied,2026-06-08T13:58:12.000,"{'latitude': '40.665706600874', 'longitude': '-73.987888551845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,39,14101,3023701,Park Slope
Initial,14316943,PC8728760,1,3012070052,3,1207,52,1237,DEAN STREET,11216,,,40.676792721995,-73.94831946703,Brooklyn,2026-06-08T10:12:39.000,Failed for Rat Activity,2026-06-09T08:56:58.000,"{'latitude': '40.676792721995', 'longitude': '-73.94831946703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030068,Crown Heights (North)
Compliance,14317064,PC8632412,8,1021160001,1,2116,1,3780,BROADWAY,10032,,,40.834142641001,-73.944799837788,Manhattan,2026-06-08T10:13:00.000,Failed for Rat Activity,2026-06-09T10:55:43.000,"{'latitude': '40.834142641001', 'longitude': '-73.944799837788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,241,1084194,Washington Heights (South)
Initial,14316945,PC8729901,1,3012070050,3,1207,50,1241,DEAN STREET,11216,,,40.676787181996,-73.948207710155,Brooklyn,2026-06-08T10:14:39.000,Failed for Other Reason,2026-06-09T08:58:04.000,"{'latitude': '40.676787181996', 'longitude': '-73.948207710155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030066,Crown Heights (North)
Treatments,3079661,PC8686706,4,2033270063,2,3327,63,55,EAST  210 STREET,10467,1016844,259979,40.880190490974,-73.882131231757,Bronx,2026-06-08T10:15:07.000,Bait applied,2026-06-08T14:16:20.000,"{'latitude': '40.880190490974', 'longitude': '-73.882131231757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,421,2017765,Norwood
Initial,14317149,PC8734365,1,,1,301,3,36,FORSYTH STREET,10002,,,40.715892524283,-73.994120064768,Manhattan,2026-06-08T10:15:52.000,Failed for Rat Activity and Other Reason,2026-06-09T09:39:49.000,"{'latitude': '40.715892524283', 'longitude': '-73.994120064768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,16,,Chinatown-Two Bridges
Stoppage,3079735,PC8727710,1,3032460050,3,3246,50,167,Stockholm Street,11237,,,40.69963127773,-73.922663512869,Brooklyn,2026-06-08T10:16:00.000,Stoppage done,2026-06-09T10:09:15.000,"{'latitude': '40.69963127773', 'longitude': '-73.922663512869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,429,3073849,Bushwick (West)
Compliance,14317208,PC8652327,5,1016440156,1,1644,156,142,EAST 117 STREET,10035,,,40.799436458008,-73.941484138994,Manhattan,2026-06-08T10:16:08.000,Failed for Rat Activity and Other Reason,2026-06-09T09:08:30.000,"{'latitude': '40.799436458008', 'longitude': '-73.941484138994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,182,1052330,East Harlem (North)
Compliance,14317108,PC8690797,5,1017510066,1,1751,66,14,EAST  127 STREET,10035,1000655,233463,40.807456229457,-73.940740151038,Manhattan,2026-06-08T10:16:44.000,Failed for Rat Activity and Other Reason,2026-06-09T14:45:53.000,"{'latitude': '40.807456229457', 'longitude': '-73.940740151038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,9,206,1054125,East Harlem (North)
Compliance,14316712,PC8716729,2,3027640020,3,2764,20,726,METROPOLITAN AVENUE,11211,999506,199582,40.714463170187,-73.9449678732,Brooklyn,2026-06-08T10:19:00.000,Failed for Rat Activity,2026-06-09T12:32:28.000,"{'latitude': '40.714463170187', 'longitude': '-73.9449678732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,497,3068869,East Williamsburg
Treatments,3079761,PC8661454,5,4031180059,4,3118,59,62-46,DIETERLE CRESCENT,11374,1021976,203207,40.724345400557,-73.863892778626,Queens,2026-06-08T10:20:03.000,Bait applied,2026-06-09T08:24:33.000,"{'latitude': '40.724345400557', 'longitude': '-73.863892778626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,30,69702,4073539,Rego Park
Treatments,3079774,PC8608648,9,1014000039,1,1400,39,1126,3 AVENUE,10065,994358,218273,40.765772940149,-73.963509772169,Manhattan,2026-06-08T10:20:18.000,Bait applied,2026-06-09T09:13:57.000,"{'latitude': '40.765772940149', 'longitude': '-73.963509772169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,4,120,1042434,Upper East Side-Carnegie Hill
Stoppage,3079734,PC8727709,1,3032460022,3,3246,22,1436,Dekalb Avenue,11237,,,40.700457679397,-73.922997953643,Brooklyn,2026-06-08T10:24:00.000,Stoppage done,2026-06-09T10:09:20.000,"{'latitude': '40.700457679397', 'longitude': '-73.922997953643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,429,3073829,Bushwick (West)
