inspection_type,job_id,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,location,community_board,council_district,census_tract,nta,bbl,bin,x_coord,y_coord
Stoppage,PC8725471,3,1607,61,995,LAFAYETTE AVENUE,11221,40.692075490832,-73.932246320047,Brooklyn,2026-08-10T09:35:00.000,Stoppage done,"{'latitude': '40.692075490832', 'longitude': '-73.932246320047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,289,Bedford-Stuyvesant (East),3016070061,3043479,,
Treatments,PC8694409,2,2456,8,1064,CARROLL PLACE,10456,40.831113782515,-73.919225339875,Bronx,2026-08-10T09:37:00.000,Bait applied,"{'latitude': '40.831113782515', 'longitude': '-73.919225339875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,18102,Concourse-Concourse Village,2024560008,2002727,,
Treatments,PC8717681,3,1586,59,363,VERNON AVENUE,11206,40.696101672403,-73.936335304588,Brooklyn,2026-08-10T09:40:00.000,Bait applied,"{'latitude': '40.696101672403', 'longitude': '-73.936335304588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,287,Bedford-Stuyvesant (East),3015860059,3042907,1001898,192893
Treatments,PC8694046,1,763,45,306,WEST 40 STREET,10018,40.756166266299,-73.991279419821,Manhattan,2026-08-10T09:40:52.000,Bait applied,"{'latitude': '40.756166266299', 'longitude': '-73.991279419821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,3,115,Hell's Kitchen,1007630045,1013689,,
Stoppage,PC8752308,3,3777,1,429,DUMONT AVENUE,11212,40.664991235188,-73.903311293715,Brooklyn,2026-08-10T09:42:00.000,Stoppage done,"{'latitude': '40.664991235188', 'longitude': '-73.903311293715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,41,910,Brownsville,3037770001,3328046,1011074,181568
Treatments,PC8734072,4,129,69,50-15,SKILLMAN AVENUE,11377,40.74611329609,-73.914066923096,Queens,2026-08-10T09:42:48.000,Bait applied,"{'latitude': '40.74611329609', 'longitude': '-73.914066923096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,26,169,Sunnyside,4001290069,4000948,1008061,211120
Compliance,PC8741894,3,1708,43,24,ROCHESTER AVENUE,11233,40.678208703209,-73.927461838496,Brooklyn,2026-08-10T09:43:00.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.678208703209', 'longitude': '-73.927461838496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,299,Bedford-Stuyvesant (East),3017080043,3048151,1004370,186377
Compliance,PC8746808,1,1643,7,115,EAST 115 STREET,10029,40.798399811943,-73.943215111361,Manhattan,2026-08-10T09:44:25.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.798399811943', 'longitude': '-73.943215111361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,182,East Harlem (North),1016430007,1052232,,
Treatments,PC8709765,3,1628,13,798,LEXINGTON AVENUE,11221,40.690425353681,-73.926918423549,Brooklyn,2026-08-10T09:44:52.000,Bait applied,"{'latitude': '40.690425353681', 'longitude': '-73.926918423549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,41,387,Bedford-Stuyvesant (East),3016280013,3044422,,
Treatments,PC8718498,2,3062,17,547,EAST 180 STREET,10457,40.850443240357,-73.893523306654,Bronx,2026-08-10T09:45:25.000,Bait applied,"{'latitude': '40.850443240357', 'longitude': '-73.893523306654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,37504,Tremont,2030620017,2011854,,
Compliance,PC8747536,1,1540,42,210,EAST   95 STREET,10128,40.78413804092,-73.9489652553,Manhattan,2026-08-10T09:45:46.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.78413804092', 'longitude': '-73.9489652553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,15601,Upper East Side-Yorkville,1015400042,1049236,998367,224974
Compliance,PC8721426,2,2627,58,621,EAST 161 STREET,10456,40.822064097473,-73.907920132818,Bronx,2026-08-10T09:45:54.000,Failed for Other Reason,"{'latitude': '40.822064097473', 'longitude': '-73.907920132818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,18502,Morrisania,2026270058,2124474,,
Initial,PC8759192,3,1205,1,607,FRANKLIN AVENUE,11238,40.677734410568,-73.955403052314,Brooklyn,2026-08-10T09:47:24.000,Failed for Rat Activity,"{'latitude': '40.677734410568', 'longitude': '-73.955403052314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,221,Crown Heights (North),3012050001,3029952,,
Initial,PC8761351,2,3095,5,2006,CROTONA AVENUE,10457,40.846912788603,-73.889845847359,Bronx,2026-08-10T09:48:29.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.846912788603', 'longitude': '-73.889845847359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,371,Tremont,2030950005,2012656,1014726,247852
Compliance,PC8746555,1,1643,8,117,EAST 115 STREET,10029,40.798383323801,-73.943175395566,Manhattan,2026-08-10T09:49:00.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.798383323801', 'longitude': '-73.943175395566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,182,East Harlem (North),1016430008,1052233,,
Initial,PC8758026,1,1915,29,401,WEST 130 STREET,10027,40.814320257132,-73.951171043838,Manhattan,2026-08-10T09:49:40.000,Failed for Rat Activity,"{'latitude': '40.814320257132', 'longitude': '-73.951171043838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,21703,Manhattanville-West Harlem,1019570005,1087599,,
